Accuracy, Precision, Recall, Confusion Matrix
0.875,0.85,0.8947368421052632,[[18  3]  [ 2 17]],
0.775,0.8095238095238095,0.7727272727272727,[[14  4]  [ 5 17]],
0.85,1.0,0.6666666666666666,[[22  0]  [ 6 12]],
0.825,0.95,0.76,[[14  1]  [ 6 19]],
0.775,0.8333333333333334,0.7142857142857143,[[16  3]  [ 6 15]],
0.675,0.72,0.75,[[ 9  7]  [ 6 18]],
0.8,0.8,0.8695652173913043,[[12  5]  [ 3 20]],
